"","Order","ParamType","Molecule","Description","Parameter","Value","Units","Fit_Calc_Zero","Comment.or.Reference","Detail"
"36",35,"Tumor","Soluble Target","Central-->Tumor Transit","k13S",0.0512547916537032,"1/d","calc","Assume it's 2x larger (because soluble target is smaller)",NA
"37",36,"Tumor","Soluble Complex","Central-->Tumor Transit","k13DS",0.0256273958268516,"1/d","calc","Assume it's equal to k13D",NA
"38",37,"Tumor","Drug","Tumo->Central Transit","k31D",0.561034226606834,"1/d","calc","use formula k13D*D1*V1 = k31*D3*V3 --> k31 = k13*(D1/D3)*(V1/V3) = k13/ABCisf*V1/V3",NA
"39",38,"Tumor","Soluble Target","Tumo->Central Transit","k31S",0.841551339910251,"1/d","calc","use comparable formula to k31D",NA
"40",39,"Tumor","Soluble Complex","Tumo->Central Transit","k31DS",0.561034226606834,"1/d","calc","use comparable formula to k31D",NA
"41",40,"TMDD-infer","Mem-Bound Target","Synthesis (central)","ksynM1",10,"nM/d","1",NA,NA
"42",41,"TMDD-Shedding","Mem-Bound Target","Shedding (central)","kshedM1",1.33791109183992,"1/d","literature",NA,NA
"43",42,"TMDD-Shedding","Mem-Bound Complex","Shedding (central)","kshedDM1",1.33791109183992,"1/d","calc",NA,NA
"44",43,"TMDD","Elimination","Mem Bound Target","keM1",0,"1/d","0",NA,NA
"45",44,"TMDD","Elimination","Mem Bound Complex","keDM1",0,"1/d","0",NA,NA
"46",45,"Tumor","Mem-Bound Target","Central-->Tumor Transit","k13M",0.0256273958268516,"1/d","calc",NA,NA
"47",46,"Tumor","Mem-Bound Target","Tumo->Central Transit","k31M",0.561034226606834,"1/d","calc",NA,NA
"48",47,"Tumor","Mem-Bound Target","Central-->Tumor Transit","k13DM",0.0256273958268516,"1/d","calc",NA,NA
"49",48,"Tumor","Mem-Bound Target","Tumo->Central Transit","k31DM",0.561034226606834,"1/d","calc",NA,NA
"50",NA,NA,NA,NA,"Mtot3ss",1,NA,NA,NA,NA
"51",NA,NA,NA,NA,"M03",1,NA,NA,NA,NA
